Participant_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
36,B7,C5,I5,D4,F6,D5,F5,B6,B5,E5,E6,I6,D6,E4,F4,I4,D2,E2,F2
31,D4,B7,C5,D5,E5,D2,F2,E2,F4,D6,E6,B5,B6,F5,F6,E4,I6,I4,I5
30,C5,B7,D4,D5,I5,F6,F5,B5,B6,E6,E5,D2,F2,E2,F4,E4,I6,I4,D6
29,B7,C5,D4,I5,F6,F5,B6,B5,E6,I6,D6,I4,F2,F4,E4,D5,E5,D2,E2
28,B7,C5,I5,F6,D4,D5,E5,E6,E4,F4,D6,F5,E2,D2,F2,B5,B6,I4,I6
27,D4,B7,D2,D5,F2,E2,I4,I5,I6,F4,-F2,F2,-D2,D2,E4,E5,B6,E6,-D2,-E2,D6,D2,E2,-E6,F6,E6,-B6,B6,-E5,E5,F5,C5,B5
22-2,B7,C5,D4,I5,F5,B6,B5,E6,E5,E2,F2,D2,D5,F6,D6,I6,I4,E4,F4
22-1,B7,D4,C5,I5,F6,F5,B6,B5,E6,D2,E2,D5,F2,D6,I6,I4,E5
20,C5,B7,I4,-I4,I5,D5,E5,B5,F5,B6,D2,F2,E2,E6,E4,I4,I6,D4,F4,D6,F6
19-2,D4,B7,C5,B5,B6,E4,F4,I4,I6,I5,-B5,B5,E6,F6,D6,F2,E2,D2,E5,D5,-E4,E4,F5
19-1,B7,D4,C5,B5,B6,E5,E4,F4,-B5,B5,-E4,D5,F6,F5,-F5,-D5,D5
18,D5,C5,E5,D4,B7,B5,B6,F5,-B5,B5,-B6,B6,-F5,F5,I5,F6,-F6,F6,E6,E4,F4,E2,D6,I4,I6,F2,D2
16,B7,D4,C5,D5,D6,D2,F2,I4,E5,E6,B5,E2,F4,E4,I6,B6,F6,F5,I5
15,B7,D4,C5,D5,E5,E6,B5,B6,F5,I5,D2,D6,F6,E4,F4,E2,F2,I4,I6
11,D4,D5,B7,C5,D2,D6,I4,I6,I5,F6,F5,B6,B5,E6,E4,F4,E5,E2,F2
10,B7,C5,I5,D4,D5,E5,B5,B6,F5,D2,F2,E2,F4,I4,E4,F6,E6,D6,I6
S1-WS,B7,C5,D6, D2,I5,D4,F4, E2,D5,F5,I6,F2,E4, F6,I4,B5,E6, E5,B6
S2-WS,C5,D6,B7, F4,D4,I5,D2, F2,I6,D5,E4,E2,F5, B5,F6,I4,E6, B6,E5
